,word,size
0,Aero,1
1,Audible,6
2,BLACKPINK,1
3,Big,1
4,Brea,2
5,Brother,1
6,Count,1
7,Cranking,1
8,Dalloway,1
9,Dick,1
10,Divin,1
11,Dreamy,1
12,Drift,6
13,Flood,1
14,Frodo,1
15,Gainsbourg,1
16,Girl,1
17,God,6
18,Gosh,1
19,Headphone,6
20,Heaven,5
21,Homework,1
22,Jong,1
23,Kim,1
24,La,2
25,Lamplight,1
26,Lookin,1
27,Moby,1
28,Montana,6
29,Morton,1
30,Mrs,1
31,Neverland,1
32,Old,1
33,Pits,2
34,Rock,3
35,Slinks,1
36,Smith,1
37,Solitaire,1
38,Tar,2
39,Thinkin,2
40,Thrashin,1
41,Un,1
42,Walkin,6
43,Wanna,2
44,Winston,1
45,Woah,2
46,Wrath,6
47,Yossarian,2
48,Zero,1
49,Zoom,1
50,absorb,1
51,ago,1
52,agoraphobic,1
53,air,1
54,aloo,3
55,anymore,1
56,attention,1
57,away,13
58,bad,11
59,barely,3
60,bass,2
61,bath,1
62,battle,1
63,beast,1
64,beat,2
65,beautiful,3
66,bed,1
67,beg,2
68,begin,2
69,believe,2
70,belong,2
71,binge,1
72,bird,6
73,bite,1
74,blackness,1
75,blanket,1
76,blow,2
77,bolt,1
78,bone,1
79,break,6
80,breathing,1
81,bruise,1
82,butt,1
83,care,18
84,cascade,1
85,cast,2
86,cat,1
87,catch,1
88,chai,1
89,choke,1
90,city,1
91,classical,1
92,cloud,5
93,come,6
94,compute,1
95,cottage,1
96,countin,2
97,cranium,1
98,cry,2
99,cup,1
100,darn,1
101,day,5
102,dead,4
103,decaf,1
104,deep,2
105,denial,1
106,desktop,1
107,die,4
108,dirty,1
109,divide,1
110,door,4
111,double,1
112,dream,1
113,drip,1
114,drop,1
115,dull,3
116,dust,1
117,ear,1
118,edge,1
119,end,1
120,endlessly,1
121,escape,2
122,eye,1
123,eyebrow,1
124,fall,2
125,family,1
126,favorite,9
127,feel,12
128,fight,2
129,figure,1
130,final,1
131,find,2
132,flash,1
133,flat,1
134,flavor,1
135,flick,1
136,fly,1
137,flyin,1
138,forever,1
139,free,3
140,french,1
141,friend,3
142,get,3
143,girl,1
144,go,15
145,gobi,3
146,good,5
147,grape,6
148,grasp,1
149,grin,1
150,guilty,1
151,guy,1
152,hair,2
153,hammer,1
154,hand,2
155,hang,1
156,happenin,4
157,hate,1
158,head,2
159,hear,6
160,hell,1
161,help,2
162,high,1
163,hiss,1
164,home,2
165,horde,1
166,horn,1
167,hour,1
168,human,1
169,huntin,1
170,image,4
171,imagine,1
172,instead,1
173,interview,1
174,iq,1
175,iron,1
176,island,1
177,java,1
178,join,1
179,jonese,1
180,jungle,1
181,key,3
182,kid,2
183,kill,1
184,killer,1
185,kind,2
186,know,12
187,krill,1
188,latté,1
189,laugh,1
190,laughter,4
191,lend,1
192,lie,1
193,life,4
194,lift,2
195,like,2
196,little,1
197,live,3
198,livin,2
199,lock,1
200,long,2
201,look,3
202,lose,1
203,lounger,1
204,love,3
205,low,2
206,lyin,1
207,mad,5
208,maid,1
209,major,1
210,make,1
211,makеs,1
212,man,6
213,mandible,1
214,mastodon,1
215,matter,3
216,meal,1
217,meaningful,1
218,measure,2
219,melody,2
220,meme,1
221,mind,2
222,mirror,4
223,miss,3
224,mission,2
225,mixolydian,1
226,morning,1
227,move,2
228,multiply,1
229,nail,1
230,need,6
231,news,1
232,nice,1
233,night,3
234,noir,1
235,noise,1
236,number,10
237,nеxt,1
238,oblivion,6
239,old,3
240,open,3
241,order,1
242,oubliette,2
243,paradise,1
244,party,1
245,pass,1
246,pay,1
247,people,3
248,person,1
249,persuade,1
250,phantom,1
251,piano,6
252,piece,1
253,play,1
254,playin,7
255,poetry,1
256,prayer,1
257,provide,1
258,punk,1
259,rain,5
260,raise,1
261,raven,1
262,real,2
263,recognize,1
264,rich,1
265,right,3
266,ring,1
267,road,1
268,roar,1
269,rock,3
270,rope,2
271,rose,5
272,routine,3
273,sad,9
274,sadness,4
275,save,1
276,say,1
277,scoop,1
278,screen,4
279,sea,1
280,search,1
281,settle,1
282,share,1
283,shatter,2
284,short,1
285,show,3
286,shut,1
287,simply,1
288,sing,6
289,singe,1
290,singin,2
291,sink,5
292,siren,1
293,sit,1
294,sky,1
295,slime,1
296,slip,1
297,slow,6
298,smile,3
299,sneakin,1
300,song,12
301,soon,1
302,sound,1
303,spacin,1
304,spear,1
305,spin,1
306,splash,1
307,splish,2
308,stand,1
309,stare,8
310,starеs,1
311,state,1
312,stay,2
313,step,2
314,stop,1
315,streak,1
316,stream,1
317,stupid,1
318,sun,2
319,support,1
320,sweet,1
321,take,1
322,talk,1
323,team,1
324,tell,6
325,think,4
326,thirsty,1
327,thrill,1
328,throw,2
329,thunder,1
330,til,3
331,time,2
332,tribe,1
333,trip,1
334,trompe,1
335,trouble,8
336,truck,1
337,truth,1
338,try,4
339,tryin,1
340,tune,3
341,turn,6
342,umbrella,1
343,understand,1
344,universe,1
345,upstairs,2
346,walk,2
347,walkin,1
348,wanna,5
349,want,3
350,warble,3
351,wash,9
352,water,1
353,way,5
354,week,1
355,weigh,1
356,well,1
357,whale,1
358,white,1
359,wife,1
360,will,1
361,windshield,1
362,wing,7
363,wish,1
364,womb,2
365,world,4
366,wriggle,1
367,wrong,7
368,year,3
369,young,1
370,zombie,1
